2015,2016,2017,2018,2019,2020,2021
,44.80509375,61.38075810185186,65.11263725490194,60.221646341463405,39.337359437751005,37.1866369047619
82.35959027777777,53.135560344827596,94.33170542635658,48.08185294117648,57.151725490196085,23.182053571428572,22.30927941176471
61.539136363636366,24.342938144329896,56.43373470948011,55.723866185897435,49.60132507507508,34.35059151785715,19.216891891891887
34.23640350877193,56.30573830409357,43.97720029239766,52.83811363636364,41.79751461988304,36.13184210526315,17.716557017543863
