2015,2016,2017,2018,2019,2020,2021
,91.42724683544304,51.977083333333326,57.389215686274504,63.35,55.5168776371308,53.754494382022465
45.845454545454544,53.17683823529412,39.743975903614455,48.55898876404494,41.77906976744186,32.231617647058826,40.68
56.144217391304345,72.73426229508198,23.858695652173914,24.215857605177995,23.13,11.474137931034482,19.35811965811966
162.26818965517242,43.611111111111114,44.90714285714286,45.70086206896552,51.74561403508772,37.49180327868852,36.02442528735632
