2015,2016,2017,2018,2019,2020,2021
,53.96696047008548,29.74360197368421,36.02025555555555,37.775806962025314,33.24467708333333,29.304720464135023
25.915168010752687,42.10816358024692,25.165869791666662,28.15500694444444,37.91161008230453,27.00483333333333,29.986614583333335
25.911568396226418,30.76340375586855,20.228031746031743,23.913859034267915,23.719992138364777,20.42988707165109,25.074649532710286
30.383441358024694,27.776155660377363,36.67235576923077,29.424937106918236,30.243009259259257,22.583561320754715,27.10010220125786
