2015,2016,2017,2018,2019,2020,2021
1676.7397,1518.1375,1621.1621,1611.65,1731.4589,1531.2756,1331.4562
1860.6256,2203.6406,2300.6743,1980.6257,2406.7651,2187.7961,2150.5835
1285.213,1193.5168,1211.852,1202.0176,1173.8093,1112.466,1232.85
1117.4395,1785.5742,1118.4271,1421.999,1038.957,1085.5748,795.1878
