City,Season,Year,Modis AOD,Insat AOD,BLH,PM2p5
Gujarat_Ahmedabad,Winter,2019,0.3233333486908425,1.1262294,1343.4901,70.88730555555556
Gujarat_Ahmedabad,Winter,2020,0.3600000170990824,0.8683133,1204.9406,48.86873456790124
Gujarat_Ahmedabad,Winter,2021,0.328000015579164,2.0621023,1123.2273,52.45864457831324
Gujarat_Ahmedabad,Pre-Monsoon,2015,0.3693333508757253,0.24653764,1807.8551,84.85623015873016
Gujarat_Ahmedabad,Pre-Monsoon,2016,0.2830000134417787,0.2895287,1969.5873,
Gujarat_Ahmedabad,Pre-Monsoon,2017,0.2490000118268653,0.21312357,1977.7513,81.23102272727273
Gujarat_Ahmedabad,Pre-Monsoon,2018,0.3236666820400084,1.2911412,2076.271,71.30056776556776
Gujarat_Ahmedabad,Pre-Monsoon,2019,0.227666677480253,2.0588052,2151.6392,61.97797325102881
Gujarat_Ahmedabad,Pre-Monsoon,2020,0.1990000094519928,1.5187575,2240.9138,27.042203703703706
Gujarat_Ahmedabad,Pre-Monsoon,2021,0.3240000153891742,4.200972,2062.578,43.72206349206349
Gujarat_Ahmedabad,Monsoon,2015,0.4270000202814117,0.21378788,1458.8267,40.572150997151
Gujarat_Ahmedabad,Monsoon,2016,0.4365000207326375,0.25515497,1202.1674,32.85473577235772
Gujarat_Ahmedabad,Monsoon,2017,0.5155000244849361,1.0037593,1244.256,63.814375
Gujarat_Ahmedabad,Monsoon,2018,0.4820000228937715,1.5362915,1344.5966,35.69096264367816
Gujarat_Ahmedabad,Monsoon,2019,0.58333336104018,2.8127904,1157.721,36.88787121212121
Gujarat_Ahmedabad,Monsoon,2020,0.5553333597102513,2.7543597,1176.8517,33.85678985507246
Gujarat_Ahmedabad,Monsoon,2021,0.5530000262660905,4.3781257,1233.836,28.35302442528736
Gujarat_Ahmedabad,Post-Monsoon,2015,0.38450001826277,0.16141418,2022.4578,93.93278645833334
Gujarat_Ahmedabad,Post-Monsoon,2016,0.3470000164816156,0.15020245,1285.4955,82.03054545454546
Gujarat_Ahmedabad,Post-Monsoon,2017,0.4130000196164474,0.80079377,1908.9066,74.64595833333333
Gujarat_Ahmedabad,Post-Monsoon,2018,0.401000019046478,0.7503755,2214.952,73.93083333333334
Gujarat_Ahmedabad,Post-Monsoon,2019,0.5665000269073062,1.5196271,1355.9685,47.629283625731
Gujarat_Ahmedabad,Post-Monsoon,2020,0.4175000198301859,1.2500467,1578.5006,47.09733630952381
Gujarat_Ahmedabad,Post-Monsoon,2021,0.4070000193314627,3.2255774,1339.119,45.77322916666667
Haryana_Faridabad,Winter,2015,0.772666703366364,0.20567463,898.1822,
Haryana_Faridabad,Winter,2016,0.8846667086860786,0.18045492,1014.2717,155.55513333333334
Haryana_Faridabad,Winter,2017,0.5843333610876774,0.1629069,947.1708,178.84117647058824
Haryana_Faridabad,Winter,2018,0.6493333641750118,0.906625,867.60693,116.69795454545456
Haryana_Faridabad,Winter,2019,0.647000030730851,1.1262294,997.1406,103.44753086419752
Haryana_Faridabad,Winter,2020,0.7963333711571371,0.8683133,893.31445,106.91666666666666
Haryana_Faridabad,Winter,2021,0.6406666970967004,2.0621023,983.6501,137.4017094017094
Haryana_Faridabad,Pre-Monsoon,2015,0.4943333568129067,0.24653764,2027.2643,213.72916666666663
Haryana_Faridabad,Pre-Monsoon,2016,0.5790000275010243,0.2895287,2217.609,80.42763157894737
Haryana_Faridabad,Pre-Monsoon,2017,0.5386666922519604,0.21312357,2382.2297,72.33333333333333
Haryana_Faridabad,Pre-Monsoon,2018,0.6200000294484198,1.2911412,2291.8755,61.61931818181818
